# ----------------------------------------
# All Web Site Data
# Searches by Player and Date
# 20191020-20191026
# ----------------------------------------

Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
117504,20191024,1,1,"117,504","117,504.00"
116953,20191025,1,1,"116,953","116,953.00"
116775,20191022,1,1,"116,775","116,775.00"
116636,20191024,1,1,"116,636","116,636.00"
58159,20191024,2,2,"116,318","58,159.00"
116112,20191020,1,1,"116,112","116,112.00"
116109,20191023,1,1,"116,109","116,109.00"
29026,20191021,4,3,"116,104","29,026.00"
116084,20191025,1,1,"116,084","116,084.00"
116074,20191020,1,1,"116,074","116,074.00"
58022,20191021,2,2,"116,044","58,022.00"
115998,20191022,1,1,"115,998","115,998.00"
115935,20191023,1,1,"115,935","115,935.00"
28968,20191021,4,1,"115,872","28,968.00"
115715,20191025,1,1,"115,715","115,715.00"
115482,20191020,1,1,"115,482","115,482.00"
115448,20191020,1,1,"115,448","115,448.00"
28862,20191025,4,1,"115,448","28,862.00"
28861,20191022,4,3,"115,444","28,861.00"
115431,20191025,1,1,"115,431","115,431.00"
28838,20191020,4,4,"115,352","28,838.00"
115319,20191025,1,1,"115,319","115,319.00"
115273,20191020,1,1,"115,273","115,273.00"
115243,20191025,1,1,"115,243","115,243.00"
28804,20191024,4,4,"115,216","28,804.00"
28804,20191025,4,4,"115,216","28,804.00"
115179,20191020,1,1,"115,179","115,179.00"
57543,20191022,2,1,"115,086","57,543.00"
115080,20191024,1,1,"115,080","115,080.00"
28756,20191022,4,4,"115,024","28,756.00"
28756,20191026,4,4,"115,024","28,756.00"
114813,20191023,1,1,"114,813","114,813.00"
114813,20191025,1,1,"114,813","114,813.00"
114561,20191020,1,1,"114,561","114,561.00"
114561,20191021,1,1,"114,561","114,561.00"
56894,20191022,2,2,"113,788","56,894.00"
113703,20191020,1,1,"113,703","113,703.00"
113703,20191022,1,1,"113,703","113,703.00"
56836,20191022,2,1,"113,672","56,836.00"
56815,20191023,2,1,"113,630","56,815.00"
56651,20191022,2,1,"113,302","56,651.00"
56607,20191026,2,1,"113,214","56,607.00"
56538,20191022,2,2,"113,076","56,538.00"
56506,20191026,2,2,"113,012","56,506.00"
56477,20191020,2,1,"112,954","56,477.00"
112909,20191020,1,1,"112,909","112,909.00"
56454,20191025,2,1,"112,908","56,454.00"
56449,20191022,2,2,"112,898","56,449.00"
112854,20191026,1,1,"112,854","112,854.00"
112853,20191025,1,1,"112,853","112,853.00"
112768,20191023,1,1,"112,768","112,768.00"
112730,20191020,1,1,"112,730","112,730.00"
112649,20191021,1,1,"112,649","112,649.00"
112645,20191021,1,1,"112,645","112,645.00"
112645,20191025,1,1,"112,645","112,645.00"
112641,20191021,1,1,"112,641","112,641.00"
112607,20191024,1,1,"112,607","112,607.00"
112471,20191020,1,1,"112,471","112,471.00"
112466,20191026,1,1,"112,466","112,466.00"
112398,20191024,1,1,"112,398","112,398.00"
112358,20191021,1,1,"112,358","112,358.00"
112358,20191022,1,1,"112,358","112,358.00"
112358,20191024,1,1,"112,358","112,358.00"
112358,20191025,1,1,"112,358","112,358.00"
112302,20191021,1,1,"112,302","112,302.00"
112292,20191026,1,1,"112,292","112,292.00"
112263,20191021,1,1,"112,263","112,263.00"
112133,20191021,1,1,"112,133","112,133.00"
112095,20191024,1,1,"112,095","112,095.00"
112050,20191022,1,1,"112,050","112,050.00"
111888,20191020,1,1,"111,888","111,888.00"
37259,20191022,3,3,"111,777","37,259.00"
37259,20191024,3,2,"111,777","37,259.00"
111774,20191022,1,1,"111,774","111,774.00"
111766,20191022,1,1,"111,766","111,766.00"
111694,20191022,1,1,"111,694","111,694.00"
111654,20191025,1,1,"111,654","111,654.00"
111338,20191021,1,1,"111,338","111,338.00"
111338,20191025,1,1,"111,338","111,338.00"
111180,20191025,1,1,"111,180","111,180.00"
54401,20191024,2,1,"108,802","54,401.00"
108541,20191022,1,1,"108,541","108,541.00"
53896,20191022,2,2,"107,792","53,896.00"
35450,20191021,3,1,"106,350","35,450.00"
15116,20191025,7,4,"105,812","15,116.00"
34566,20191021,3,2,"103,698","34,566.00"
34436,20191022,3,1,"103,308","34,436.00"
34405,20191022,3,2,"103,215","34,405.00"
34302,20191026,3,2,"102,906","34,302.00"
51370,20191021,2,1,"102,740","51,370.00"
33605,20191025,3,1,"100,815","33,605.00"
32906,20191025,3,2,"98,718","32,906.00"
49303,20191022,2,2,"98,606","49,303.00"
49283,20191023,2,1,"98,566","49,283.00"
98507,20191026,1,1,"98,507","98,507.00"
49198,20191021,2,2,"98,396","49,198.00"
32662,20191023,3,1,"97,986","32,662.00"
97539,20191022,1,1,"97,539","97,539.00"
97539,20191023,1,1,"97,539","97,539.00"
97510,20191020,1,1,"97,510","97,510.00"
97510,20191024,1,1,"97,510","97,510.00"
97448,20191022,1,1,"97,448","97,448.00"
32247,20191024,3,1,"96,741","32,247.00"
16019,20191026,6,1,"96,114","16,019.00"
95387,20191021,1,1,"95,387","95,387.00"
95221,20191023,1,1,"95,221","95,221.00"
95221,20191025,1,1,"95,221","95,221.00"
95036,20191025,1,1,"95,036","95,036.00"
47448,20191025,2,2,"94,896","47,448.00"
47432,20191020,2,2,"94,864","47,432.00"
