Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
33,20191020,4,2,132,33
3346,20191016,4,4,"13,384","3,346.00"
339,20191019,4,1,"1,356",339
34574,20191016,4,1,"138,296","34,574.00"
35,20191017,4,1,140,35
35648,20191014,4,2,"142,592","35,648.00"
3581,20191020,4,4,"14,324","3,581.00"
3706,20191020,4,3,"14,824","3,706.00"
374,20191020,4,4,"1,496",374
38428,20191016,4,1,"153,712","38,428.00"
3871,20191020,4,4,"15,484","3,871.00"
3917,20191018,4,3,"15,668","3,917.00"
3993,20191020,4,4,"15,972","3,993.00"
40,20191020,4,2,160,40
4089,20191020,4,2,"16,356","4,089.00"
4095,20191019,4,2,"16,380","4,095.00"
41,20191018,4,3,164,41
43397,20191014,4,2,"173,588","43,397.00"
43583,20191016,4,1,"174,332","43,583.00"
43609,20191015,4,3,"174,436","43,609.00"
43626,20191019,4,4,"174,504","43,626.00"
43630,20191019,4,3,"174,520","43,630.00"
43635,20191018,4,3,"174,540","43,635.00"
43654,20191018,4,4,"174,616","43,654.00"
43671,20191019,4,2,"174,684","43,671.00"
43785,20191014,4,2,"175,140","43,785.00"
43785,20191019,4,3,"175,140","43,785.00"
43907,20191020,4,3,"175,628","43,907.00"
43909,20191019,4,2,"175,636","43,909.00"
43927,20191014,4,2,"175,708","43,927.00"
44144,20191019,4,4,"176,576","44,144.00"
44300,20191015,4,2,"177,200","44,300.00"
44379,20191017,4,1,"177,516","44,379.00"
44555,20191018,4,4,"178,220","44,555.00"
464,20191017,4,3,"1,856",464
47,20191019,4,1,188,47
49,20191017,4,2,196,49
4993,20191020,4,4,"19,972","4,993.00"
521,20191016,4,4,"2,084",521
522,20191015,4,4,"2,088",522
5529,20191018,4,4,"22,116","5,529.00"
56585,20191017,4,2,"226,340","56,585.00"
6072,20191020,4,2,"24,288","6,072.00"
6521,20191018,4,4,"26,084","6,521.00"
68959,20191014,4,1,"275,836","68,959.00"
68967,20191016,4,4,"275,868","68,967.00"
68983,20191018,4,2,"275,932","68,983.00"
69072,20191014,4,3,"276,288","69,072.00"
69174,20191019,4,3,"276,696","69,174.00"
69185,20191017,4,2,"276,740","69,185.00"
69278,20191017,4,1,"277,112","69,278.00"
69329,20191017,4,2,"277,316","69,329.00"
69623,20191017,4,2,"278,492","69,623.00"
70002,20191017,4,2,"280,008","70,002.00"
722,20191019,4,3,"2,888",722
749,20191020,4,1,"2,996",749
7649,20191020,4,2,"30,596","7,649.00"
871,20191020,4,3,"3,484",871
878,20191020,4,4,"3,512",878
89108,20191014,4,4,"356,432","89,108.00"
89108,20191017,4,1,"356,432","89,108.00"
9298,20191018,4,1,"37,192","9,298.00"
988,20191018,4,3,"3,952",988
1040,20191017,3,3,"3,120","1,040.00"
1040,20191019,3,3,"3,120","1,040.00"
1053,20191018,3,3,"3,159","1,053.00"
112292,20191019,3,1,"336,876","112,292.00"
1126,20191018,3,3,"3,378","1,126.00"
1126,20191019,3,3,"3,378","1,126.00"
11269,20191019,3,2,"33,807","11,269.00"
1137,20191018,3,2,"3,411","1,137.00"
1149,20191017,3,2,"3,447","1,149.00"
1173,20191017,3,3,"3,519","1,173.00"
118,20191016,3,1,354,118
118433,20191020,3,1,"355,299","118,433.00"
118882,20191014,3,1,"356,646","118,882.00"
120375,20191019,3,1,"361,125","120,375.00"
1211,20191019,3,1,"3,633","1,211.00"
121251,20191019,3,2,"363,753","121,251.00"
122046,20191016,3,1,"366,138","122,046.00"
1256,20191016,3,2,"3,768","1,256.00"
126297,20191020,3,1,"378,891","126,297.00"
128,20191015,3,2,384,128
135,20191018,3,2,405,135
142,20191020,3,1,426,142
1438,20191014,3,2,"4,314","1,438.00"
14688,20191020,3,2,"44,064","14,688.00"
1478,20191019,3,3,"4,434","1,478.00"
14791,20191020,3,3,"44,373","14,791.00"
14828,20191018,3,1,"44,484","14,828.00"
14846,20191017,3,3,"44,538","14,846.00"
14869,20191017,3,3,"44,607","14,869.00"
14921,20191020,3,3,"44,763","14,921.00"
15053,20191015,3,2,"45,159","15,053.00"
1508,20191016,3,3,"4,524","1,508.00"
15133,20191017,3,1,"45,399","15,133.00"
151781,20191018,3,1,"455,343","151,781.00"
154,20191015,3,1,462,154
154,20191020,3,3,462,154
1556,20191016,3,1,"4,668","1,556.00"
158,20191020,3,3,474,158
16,20191016,3,3,48,16
16,20191020,3,3,48,16
16015,20191016,3,3,"48,045","16,015.00"
1620,20191019,3,2,"4,860","1,620.00"
165,20191017,3,3,495,165
165299,20191015,3,1,"495,897","165,299.00"
165390,20191015,3,3,"496,170","165,390.00"
166563,20191017,3,2,"499,689","166,563.00"
167,20191019,3,2,501,167
169,20191019,3,3,507,169
16918,20191020,3,3,"50,754","16,918.00"
176,20191018,3,2,528,176
177,20191014,3,2,531,177
17932,20191019,3,2,"53,796","17,932.00"
1862,20191019,3,3,"5,586","1,862.00"
19179,20191020,3,1,"57,537","19,179.00"
201,20191020,3,1,603,201
2041,20191020,3,1,"6,123","2,041.00"
2081,20191020,3,2,"6,243","2,081.00"
21109,20191018,3,2,"63,327","21,109.00"
2197,20191016,3,2,"6,591","2,197.00"
2279,20191017,3,2,"6,837","2,279.00"
2599,20191017,3,2,"7,797","2,599.00"
261,20191016,3,3,783,261
271,20191016,3,3,813,271
284,20191017,3,2,852,284
28767,20191015,3,1,"86,301","28,767.00"
28788,20191017,3,2,"86,364","28,788.00"
28788,20191020,3,3,"86,364","28,788.00"
28789,20191020,3,3,"86,367","28,789.00"
28825,20191015,3,2,"86,475","28,825.00"
28838,20191014,3,2,"86,514","28,838.00"
28853,20191014,3,3,"86,559","28,853.00"
28968,20191014,3,2,"86,904","28,968.00"
29,20191014,3,2,87,29
29026,20191014,3,1,"87,078","29,026.00"
29107,20191014,3,3,"87,321","29,107.00"
29205,20191017,3,3,"87,615","29,205.00"
29214,20191016,3,1,"87,642","29,214.00"
29221,20191015,3,1,"87,663","29,221.00"
29254,20191018,3,2,"87,762","29,254.00"
29551,20191020,3,2,"88,653","29,551.00"
29729,20191020,3,2,"89,187","29,729.00"
30071,20191016,3,1,"90,213","30,071.00"
30133,20191015,3,2,"90,399","30,133.00"
3014,20191017,3,2,"9,042","3,014.00"
3014,20191018,3,1,"9,042","3,014.00"
3014,20191019,3,2,"9,042","3,014.00"
30332,20191017,3,2,"90,996","30,332.00"
30927,20191014,3,2,"92,781","30,927.00"
31019,20191019,3,2,"93,057","31,019.00"
3137,20191020,3,2,"9,411","3,137.00"
318,20191019,3,1,954,318
3199,20191015,3,3,"9,597","3,199.00"
323,20191020,3,2,969,323
32470,20191017,3,1,"97,410","32,470.00"
326,20191020,3,2,978,326
3277,20191015,3,2,"9,831","3,277.00"
33016,20191019,3,2,"99,048","33,016.00"
337,20191019,3,2,"1,011",337
342,20191018,3,3,"1,026",342
342,20191020,3,3,"1,026",342
34302,20191018,3,3,"102,906","34,302.00"
344,20191020,3,2,"1,032",344
3454,20191020,3,2,"10,362","3,454.00"
3469,20191017,3,1,"10,407","3,469.00"
353,20191019,3,1,"1,059",353
3603,20191020,3,2,"10,809","3,603.00"
36095,20191016,3,1,"108,285","36,095.00"
36237,20191019,3,2,"108,711","36,237.00"
37259,20191015,3,2,"111,777","37,259.00"
3737,20191020,3,3,"11,211","3,737.00"
38089,20191017,3,1,"114,267","38,089.00"
384,20191017,3,2,"1,152",384
39474,20191019,3,2,"118,422","39,474.00"
4013,20191017,3,2,"12,039","4,013.00"
4100,20191016,3,3,"12,300","4,100.00"
42062,20191018,3,1,"126,186","42,062.00"
42363,20191014,3,3,"127,089","42,363.00"
428,20191018,3,2,"1,284",428
43554,20191018,3,2,"130,662","43,554.00"
43609,20191014,3,3,"130,827","43,609.00"
43609,20191017,3,3,"130,827","43,609.00"
43626,20191016,3,3,"130,878","43,626.00"
43645,20191016,3,2,"130,935","43,645.00"
43654,20191017,3,3,"130,962","43,654.00"
43654,20191020,3,2,"130,962","43,654.00"
43657,20191017,3,1,"130,971","43,657.00"
43747,20191015,3,1,"131,241","43,747.00"
438,20191017,3,3,"1,314",438
43913,20191017,3,3,"131,739","43,913.00"
44221,20191017,3,2,"132,663","44,221.00"
44275,20191017,3,3,"132,825","44,275.00"
44279,20191017,3,3,"132,837","44,279.00"
44555,20191017,3,2,"133,665","44,555.00"
44580,20191020,3,1,"133,740","44,580.00"
44755,20191017,3,2,"134,265","44,755.00"
460,20191016,3,2,"1,380",460
