Event,Region,Rank,Payout,Players
CC Friday #3,NA West,6,400,3
CC Friday #3,NA West,9,300,3
CC Friday #3,NA West,10,200,3
CC Friday #3,Oceania,1,1500,3
CC Friday #3,Oceania,2,900,3
CC Friday #3,Oceania,3,600,3
CC Friday #3,Oceania,4,500,3
CC Friday #3,Oceania,5,400,3
CC Friday #3,Oceania,6,300,3
CC Friday #3,Oceania,10,200,3
CC Friday #4,Asia,1,1500,3
CC Friday #4,Asia,2,900,3
CC Friday #4,Asia,3,600,3
CC Friday #4,Asia,4,500,3
CC Friday #4,Asia,5,400,3
CC Friday #4,Asia,6,300,3
CC Friday #4,Asia,10,200,3
CC Friday #4,Brazil,1,1700,3
CC Friday #4,Brazil,2,1300,3
CC Friday #4,Brazil,3,1000,3
CC Friday #4,Brazil,4,700,3
CC Friday #4,Brazil,5,500,3
CC Friday #4,Brazil,6,400,3
CC Friday #4,Brazil,9,300,3
CC Friday #4,Brazil,10,200,3
CC Friday #4,Europe,1,6000,3
CC Friday #4,Europe,2,5000,3
CC Friday #4,Europe,3,4000,3
CC Friday #4,Europe,4,2300,3
CC Friday #4,Europe,5,1100,3
CC Friday #4,Europe,6,900,3
CC Friday #4,Europe,7,800,3
CC Friday #4,Europe,8,600,3
CC Friday #4,Europe,9,500,3
CC Friday #4,Europe,10,400,3
CC Friday #4,Europe,20,300,3
CC Friday #4,Europe,30,200,3
CC Friday #4,NA East,1,4000,3
CC Friday #4,NA East,2,3300,3
CC Friday #4,NA East,3,2500,3
CC Friday #4,NA East,4,1335,3
CC Friday #4,NA East,5,900,3
CC Friday #4,NA East,6,800,3
CC Friday #4,NA East,7,600,3
CC Friday #4,NA East,8,500,3
CC Friday #4,NA East,9,400,3
CC Friday #4,NA East,10,300,3
CC Friday #4,NA East,20,200,3
CC Friday #4,NA West,1,1700,3
CC Friday #4,NA West,2,1300,3
CC Friday #4,NA West,3,1000,3
CC Friday #4,NA West,4,700,3
CC Friday #4,NA West,5,500,3
CC Friday #4,NA West,6,400,3
CC Friday #4,NA West,9,300,3
CC Friday #4,NA West,10,200,3
CC Friday #4,Oceania,1,1500,3
CC Friday #4,Oceania,2,900,3
CC Friday #4,Oceania,3,600,3
CC Friday #4,Oceania,4,500,3
CC Friday #4,Oceania,5,400,3
CC Friday #4,Oceania,6,300,3
CC Friday #4,Oceania,10,200,3
CC Thursday #1,Asia,1,1000,1
CC Thursday #1,Asia,2,750,1
CC Thursday #1,Asia,3,550,1
CC Thursday #1,Asia,4,400,1
CC Thursday #1,Asia,5,300,1
CC Thursday #1,Asia,6,275,1
CC Thursday #1,Asia,7,250,1
CC Thursday #1,Asia,10,200,1
CC Thursday #1,Brazil,1,2500,1
CC Thursday #1,Brazil,2,2000,1
CC Thursday #1,Brazil,3,1500,1
CC Thursday #1,Brazil,4,1250,1
CC Thursday #1,Brazil,5,800,1
CC Thursday #1,Brazil,6,650,1
CC Thursday #1,Brazil,7,550,1
CC Thursday #1,Brazil,8,450,1
CC Thursday #1,Brazil,9,375,1
CC Thursday #1,Brazil,10,300,1
CC Thursday #1,Brazil,20,200,1
CC Thursday #1,Europe,1,7000,1
CC Thursday #1,Europe,2,5000,1
CC Thursday #1,Europe,3,3500,1
CC Thursday #1,Europe,4,2250,1
CC Thursday #1,Europe,5,1750,1
CC Thursday #1,Europe,6,1500,1
CC Thursday #1,Europe,7,1250,1
CC Thursday #1,Europe,8,1000,1
CC Thursday #1,Europe,9,900,1
CC Thursday #1,Europe,10,800,1
CC Thursday #1,Europe,20,700,1
CC Thursday #1,Europe,30,430,1
CC Thursday #1,Europe,40,300,1
CC Thursday #1,Europe,50,200,1
CC Thursday #1,Middle East,1,1000,1
