"Region","Player","Payout","RawPowerPoints"
"Europe","TrainH Seth","6580","6930.59"
"Europe","Tchub_","6565","4895.26"
"Europe","SNG Bast","6560","9270.22"
"Europe","NoFlex Nakirye","6535","7377.37"
"Europe","TrainH Yagsou","6470","7132.19"
"Europe","COLDY Qvado","6465","5902.97"
"Europe","Evade AddzZ","6455","6262.76"
"Europe","ECV_Cazorla","6450","5573.98"
"Europe","McDaBeast.","6420","8851.36"
"Europe","Tokɑr","6350","7159.84"
"Europe","FRΕNZII","6335","5859.73"
"Europe","mārteeṉeu","6300","2200.53"
"Europe","Kyklos ZQ","6285","8562.87"
"Europe","LYGHT ツ","6270","2206.24"
"Europe","RijasR","6250","6877.97"
"Europe","Xypher Duzeboy","6210","5412.78"
"Europe","ProximaStar","6165","4821.38"
"Europe","K0nfetti_Twitch","6100","4673.37"
"Europe","Alliance Ticke","6095","8245.03"
"Europe","tobi.ㅤ","6085","9779.20"
"Europe","Quіnten","6070","7815.08"
"Europe","Atlantis Devіl","6070","6401.10"
"Europe","Eon znappy","6060","8857.32"
"Europe","DiegoGB uwu","5975","4162.05"
"Europe","Ghost Issa","5975","3443.87"
"Europe","TQ Prisi0n3r0","5965","3602.95"
"Europe","raifla.","5960","9224.89"
"Europe","GL Snadr","5960","7766.65"
"Europe","Twitch JannisZ","5950","6689.28"
"Europe","PnR.","5925","5766.75"
"Europe","FA Pusher-","5900","5173.70"
"Europe","Zino was taken","5900","6884.89"
"Europe","E11 Bloodx","5820","5992.10"
"Europe","Phool has 0 ping","5670","5530.53"
"Europe","VHV Edr4k1ll","5600","5100.65"
"Europe","advise_FN","5565","4594.98"
"Europe","FSpirit Blacky","5565","5722.26"
"Europe","nuggisoNNN","5525","5689.78"
"Europe","StylerCSC","5490","2932.75"
"Europe","xypher snap","5470","5208.66"
"Europe","Saеvid","5430","6928.51"
"Europe","Fury Legendary","5415","3750.52"
"Europe","Sy Marcote","5365","6415.25"
"Europe","S2V JrgeQ","5325","8033.47"
"Europe","GO M11Z","5310","5053.60"
"Europe","uNp danDAƝ","5290","4978.25"
"Europe","Τeekzie","5280","7110.09"
"Europe","Osmose Nyydo","5270","4987.53"
"Europe","Winstrike Mayhem","5255","6774.62"
"Europe","code quadra","5240","5748.88"
"Europe","DV1 Hoopek","5155","7441.67"
"Europe","IMajestQ","5050","3692.87"
"Europe","Eon Kris","5045","8036.72"
"Europe","Impact Fickzi","4960","5205.27"
"Europe","FrayFN","4960","4348.50"
"Europe","MCES xsweeze","4940","5547.50"
"Europe","Wave coffeh","4925","5941.45"
"Europe","Wave LUUU","4875","5820.72"
"Europe","Εmqu","4820","1953.46"
"Europe","Lareez","4810","8668.73"
"Europe","Eon FelixGen","4805","6977.06"
"Europe","x6 Kiujy_Y","4795","3335.09"
"Europe","dMIND.Crusti","4760","5026.73"
"Europe","sevenjosh","4745","7356.78"
"Europe","FaZe Martoz","4730","6213.33"
"Europe","Twitch GingeYRN","4720","7187.73"
"Europe","VP 7ssk7","4700","4897.08"
"Europe","VGIA xPlash","4675","8209.39"
"Europe","Paffpi","4655","5656.36"
"Europe","DV1 Shikuni","4655","6734.82"
"Europe","Bouth 0 Ping","4640","4819.04"
"Europe","OwL Temper","4640","2474.38"
"Europe","ttv LouisFN","4580","4823.93"
"Europe","TU Al4n","4555","3918.20"
"Europe","Nymach","4500","6919.44"
"Europe","Imsdalo","4460","5896.99"
"Europe","R9 RLluka","4455","4795.28"
"Europe","raptey uwu","4410","5022.33"
"Europe","Navi Alpha","4405","4823.36"
"Europe","NOM SoMiN","4380","6680.00"
"Europe","Norkfishy","4360","5727.77"
"Europe","Twitter lowless7","4350","6690.99"
"Europe","jaspaay-iwnl-","4325","5968.04"
"Europe","Vitаlity Maxa","4305","6548.12"
"Europe","OwL Darker","4240","1935.85"
"Europe","Snayzy","4230","5608.26"
"Europe","VGIA Tedi","4225","7466.57"
"Europe","LeoJayT","4180","5244.20"
"Europe","VHV Dangoms","4140","5650.82"
"Europe","Osmose Sops","4130","5585.58"
"Europe","HotdogHenry14","4120","3853.02"
"Europe","Nawqaa","4115","4724.90"
"Europe","TQ Naranj1t0","4095","3414.14"
"Europe","EVERSIO Snoda","4090","4630.30"
"Europe","FRAG TaySon.","4045","3309.17"
"Europe","TQ ZøhaaN","4045","3813.54"
"Europe","RTS Ardi.","4040","1552.56"
"Europe","Oblivìon","4030","6349.76"
"Europe","Oslo.","4000","2533.84"
"Europe","uNp FeRinS","3960","4364.56"
"Europe","Antorak","3940","4982.84"
"Europe","dMIND.Rakso","3905","7326.31"
"Europe","YT Geanzha","3880","6875.79"
"Europe","VGIA Khisanth","3870","4020.07"
"Europe","NN oldyz","3860","5346.27"
"Europe","Gambit Azze","3835","5604.63"
"Europe","aim Kubx","3830","5865.66"
"Europe","ho lee cl4rk","3815","4456.19"
"Europe","dMIND.3vil","3805","6670.18"
"Europe","PodaSaï","3765","5865.84"
"Europe","Unique MIRWANA","3760","3882.43"
"Europe","Tamirㅤ","3755","6065.38"
"Europe","myztro Whai","3730","5322.49"
"Europe","Viallinen -","3720","4328.89"
"Europe","MCES Spolieur","3715","5429.23"
"Europe","USE CODE IREZUMI","3705","5985.04"
"Europe","Downs2k use Bolt","3685","4521.72"
"Europe","jason fn","3660","5012.59"
"Europe","YouTube DjaniBoi","3660","4793.21"
"Europe","EVERSIO Wam","3640","4958.35"
"Europe","AeQ Pablo","3630","4645.55"
"Europe","TruleX .","3630","5385.38"
"Europe","N47 Jordberry","3625","7213.82"
"Europe","OeS Dyrvig.","3605","5788.35"
"Europe","Xypher Jinzen","3590","5301.06"
"Europe","papi fredγ","3580","6667.54"
"Europe","richart_","3570","3942.28"
"Europe","Its Mashuz","3570","7041.01"
"Europe","OeS Freq","3555","5551.86"
"Europe","TrainH French","3540","4106.68"
