Region,Team,Player name,Nationality,,KBM/Controller,Age,Team,Player name,Nationality,,KBM/Controller,Age,AVG POS,W2,W4,W6,W8,W10,Qualified,Times qualified
NA West,Ghost Gaming,Sean,Canada,,KB&M,18,Ghost Gaming,Aydan,United States of America (the),,Controller,19,36,5,137,9,1,28,W8(#1),1
NA West,Free Agent,4DRStorm,United States of America (the),,KB&M,16,Team Kungarna,EpikWhale,United States of America (the),,KB&M,16,,77/7,-/46,19-Mar,67/19,2,W10(#2),1
Brazil,W7M Gaming,pfzin,Brazil,,KB&M,20,Free Agent,nicks,Brazil,,KB&M,13,4.6,1,6,1,11,4,W2(#1),2
Brazil,Free Agent,wisheydp,Brazil,,KB&M,15,Free Agent,Gustavox8,Brazil,,KB&M,,39.6,121,10,2,48,17,W6(#2),1
Brazil,9z,k1ng,Argentina,,KB&M,13,Free Agent,xOwN,Argentina,,KB&M,16,26.4,114,7,4,6,1,W10(#1),1
Asia,Crazy Raccoon,bell,Japan,,KB&M,15,Crazy Raccoon,Scarlet,Japan,,KB&M,14,94,1,162,23,22,262,W2(#1),1
Asia,Newbee,XXM,China,,KB&M,,Newbee,Xmende,China,,KB&M,,45.6,18,11,1,148,50,W6(#1),1
Asia,Trigger QQ,Flame,Viet Nam [ae],,KB&M,,Trigger QQ,Uniq,Viet Nam [ae],,KB&M,,25.8,7,21,85,15,1,W10(#1),1
Oceania,Free Agent,Twizz,New Zealand,,KB&M,23,Chiefs Esports,CoverH,New Zealand,,KB&M,18,373.6,1,1652,11,40,164,W2(#1),1
Oceania,Free Agent,volx,Australia [b],,KB&M,16,Chiefs Esports,Parpy,New Zealand,,KB&M,18,33.6,148,9,1,5,5,W6(#1),1
Oceania,Breakaway Esports,hype,Australia [b],,KB&M,18,Breakaway Esports,Serpennt,Australia [b],,KB&M,17,18.6,62,6,14,10,1,W10(#1),1
CHINA,Team WE,KBB,China,,KB&M,,Team WE,YuWang,China,,KB&M,,,,,,,,CHINA QL,1
